,Time,Yaw Rate,Acceleration Y,Yaw Angular Acceleration,Acceleration X
89,0.63303,0.09,-0.0194922,-4.625,-0.071344
90,0.63803,0.085,-0.018855200000000003,-2.25,-0.0709618
91,0.64302,0.085,-0.0186004,-0.625,-0.0710892
92,0.648025,0.085,-0.0187278,0.0,-0.0712166
93,0.65302,0.085,-0.019110000000000002,0.0,-0.071344
94,0.65804,0.085,-0.0193648,0.0,-0.0715988
95,0.66303,0.09,-0.0194922,0.625,-0.0715988
96,0.66803,0.105,-0.0196196,1.75,-0.0715988
97,0.673025,0.125,-0.019747,3.375,-0.0717262
98,0.67803,0.155,-0.0201292,5.125,-0.071981
99,0.683025,0.19,-0.020893600000000002,6.25,-0.0722358
100,0.68803,0.215,-0.022040200000000003,6.25,-0.0724906
101,0.693035,0.23500000000000001,-0.0234416,4.625,-0.0724906
102,0.69803,0.24,-0.0247156,2.25,-0.0724906
103,0.703025,0.23,-0.0259896,-0.625,-0.072618
104,0.70803,0.2,-0.026754,-4.0,-0.072618
105,0.713025,0.165,-0.027136200000000003,-6.25,-0.072618
106,0.71803,0.125,-0.027263600000000002,-7.375,-0.0724906
107,0.723035,0.09,-0.027008800000000003,-7.375,-0.0724906
108,0.72803,0.065,-0.0262444,-6.25,-0.0722358
109,0.73303,0.04,-0.0252252,-5.125,-0.0722358
110,0.73803,0.025,-0.023951200000000002,-4.0,-0.0722358
111,0.74302,0.01,-0.022932,-2.875,-0.0724906
112,0.74803,0.005,-0.0219128,-1.75,-0.0727454
113,0.753035,0.0,-0.0212758,-1.125,-0.0731276
114,0.75803,0.0,-0.021021,-0.625,-0.0736372
115,0.763025,0.005,-0.020638800000000002,0.625,-0.0741468
116,0.76803,0.005,-0.020638800000000002,0.625,-0.0742742
117,0.773025,0.01,-0.020511400000000003,0.625,-0.0742742
118,0.778035,0.025,-0.0202566,1.75,-0.0737646
119,0.783035,0.05,-0.0200018,4.0,-0.0733824
120,0.788035,0.085,-0.0196196,6.25,-0.0727454
121,0.793025,0.13,-0.0193648,8.0,-0.0722358
122,0.79805,0.165,-0.018855200000000003,8.0,-0.071981
123,0.803025,0.19,-0.018473,5.75,-0.0721084
124,0.80803,0.2,-0.0179634,3.375,-0.0722358
125,0.813035,0.195,-0.017836,0.625,-0.072618
126,0.81803,0.19,-0.0180908,-1.125,-0.0730002
127,0.823025,0.17500000000000002,-0.018855200000000003,-1.75,-0.0733824
128,0.828035,0.16,-0.019747,-2.875,-0.0737646
129,0.833025,0.15,-0.020638800000000002,-2.875,-0.0742742
130,0.83803,0.15,-0.021658,-1.125,-0.0744016
131,0.843035,0.16,-0.022295000000000002,1.125,-0.0744016
132,0.848035,0.17500000000000002,-0.0226772,2.875,-0.0742742
133,0.85303,0.195,-0.022932,3.375,-0.0742742
134,0.85803,0.21,-0.0228046,3.375,-0.0742742
135,0.86303,0.215,-0.0226772,2.25,-0.0742742
136,0.86815,0.215,-0.022549800000000002,0.625,-0.0741468
137,0.873035,0.215,-0.022549800000000002,0.0,-0.0736372
138,0.87803,0.225,-0.0228046,0.625,-0.0731276
139,0.88303,0.225,-0.0231868,0.625,-0.072618
140,0.888155,0.215,-0.023823800000000003,-0.625,-0.071981
141,0.893125,0.21,-0.024206000000000002,-1.125,-0.0717262
142,0.898035,0.2,-0.0244608,-1.75,-0.0715988
143,0.903035,0.19,-0.0245882,-2.25,-0.0717262
144,0.908145,0.17500000000000002,-0.0243334,-2.25,-0.0721084
145,0.91303,0.165,-0.023696400000000003,-2.25,-0.0727454
146,0.918035,0.16,-0.0228046,-1.75,-0.0731276
147,0.923025,0.15,-0.0219128,-1.75,-0.0735098
148,0.92815,0.13,-0.020893600000000002,-2.875,-0.0737646
149,0.93304,0.115,-0.019747,-3.375,-0.0737646
150,0.938035,0.095,-0.0192374,-3.375,-0.0737646
151,0.94303,0.075,-0.0187278,-4.0,-0.0737646
152,0.94815,0.07,-0.0186004,-2.875,-0.0737646
153,0.953025,0.075,-0.0187278,0.0,-0.0737646
154,0.958035,0.085,-0.0192374,1.75,-0.0736372
155,0.963035,0.11,-0.019747,3.375,-0.0736372
156,0.96815,0.125,-0.020511400000000003,4.0,-0.0735098
157,0.97303,0.145,-0.0211484,3.375,-0.0733824
158,0.978035,0.165,-0.021658,4.0,-0.0730002
159,0.983025,0.17500000000000002,-0.0219128,3.375,-0.0727454
160,0.98815,0.185,-0.022167600000000003,1.75,-0.0724906
161,0.993035,0.185,-0.022167600000000003,0.625,-0.071981
162,0.998035,0.17,-0.022040200000000003,-1.125,-0.0717262
163,1.003035,0.155,-0.021658,-2.875,-0.071344
164,1.00815,0.135,-0.0211484,-3.375,-0.0712166
165,1.01303,0.125,-0.020511400000000003,-2.875,-0.071344
166,1.018035,0.125,-0.0200018,-1.125,-0.0718536
167,1.02304,0.125,-0.0194922,0.0,-0.0722358
168,1.02815,0.135,-0.0193648,1.125,-0.0728728
169,1.03303,0.15,-0.0194922,2.25,-0.0731276
170,1.038035,0.17,-0.0201292,3.375,-0.0735098
171,1.04303,0.195,-0.021021,4.625,-0.0737646
172,1.04815,0.23,-0.0219128,5.75,-0.0737646
173,1.05315,0.255,-0.022549800000000002,6.25,-0.0737646
174,1.058035,0.28500000000000003,-0.0228046,5.75,-0.073892
175,1.06303,0.295,-0.0228046,4.0,-0.0741468
176,1.06815,0.28500000000000003,-0.022549800000000002,0.0,-0.074529
177,1.07303,0.265,-0.022167600000000003,-3.375,-0.0746564
178,1.078035,0.225,-0.0219128,-6.25,-0.0746564
179,1.083155,0.17500000000000002,-0.021658,-8.625,-0.074529
180,1.08815,0.13,-0.0214032,-9.125,-0.0744016
181,1.09303,0.09,-0.0214032,-8.625,-0.0742742
182,1.09813,0.065,-0.0214032,-6.875,-0.073892
183,1.10303,0.045,-0.0214032,-4.625,-0.0737646
184,1.108155,0.045,-0.0214032,-1.75,-0.0736372
185,1.11304,0.065,-0.0214032,1.75,-0.0735098
186,1.118035,0.09,-0.0214032,4.625,-0.0733824
187,1.12303,0.12,-0.0214032,5.75,-0.0730002
188,1.12815,0.15,-0.021658,5.75,-0.072618
189,1.13303,0.16,-0.0217854,4.0,-0.0721084
190,1.138035,0.165,-0.0219128,1.75,-0.071981
191,1.14304,0.155,-0.0219128,-0.625,-0.071981
192,1.14815,0.145,-0.0219128,-2.25,-0.0721084
193,1.153035,0.125,-0.021658,-2.875,-0.0722358
194,1.158035,0.11,-0.0212758,-3.375,-0.0722358
195,1.163035,0.105,-0.0211484,-2.25,-0.0721084
196,1.168185,0.11,-0.0214032,0.0,-0.071981
197,1.17304,0.13,-0.022040200000000003,2.875,-0.0715988
198,1.17804,0.155,-0.0230594,4.625,-0.0712166
199,1.18303,0.165,-0.023951200000000002,3.375,-0.0710892
200,1.18827,0.17,-0.0245882,1.75,-0.0710892
201,1.19303,0.17,-0.0245882,0.625,-0.0709618
202,1.19804,0.16,-0.023951200000000002,-1.125,-0.0709618
203,1.20304,0.15,-0.0230594,-2.25,-0.0709618
204,1.20815,0.13,-0.0219128,-2.875,-0.0712166
205,1.213045,0.12,-0.020893600000000002,-2.875,-0.0717262
206,1.21804,0.115,-0.0201292,-1.75,-0.0721084
207,1.22303,0.115,-0.0201292,-0.625,-0.0724906
208,1.228145,0.125,-0.020638800000000002,1.125,-0.0722358
209,1.23304,0.13,-0.021658,1.75,-0.071981
210,1.23804,0.135,-0.022167600000000003,1.125,-0.0717262
211,1.243035,0.145,-0.022295000000000002,1.125,-0.0715988
212,1.24815,0.145,-0.022040200000000003,0.625,-0.071344
213,1.25303,0.145,-0.0214032,0.0,-0.0715988
214,1.25814,0.15,-0.020638800000000002,0.625,-0.071981
215,1.26304,0.15,-0.0201292,0.625,-0.0727454
216,1.26819,0.15,-0.019747,0.0,-0.0735098
217,1.273035,0.135,-0.0200018,-1.125,-0.0742742
218,1.27804,0.125,-0.020511400000000003,-2.25,-0.07503860000000001
219,1.283035,0.12,-0.021658,-1.75,-0.07542080000000001
220,1.288145,0.115,-0.0228046,-1.125,-0.07554820000000001
221,1.293155,0.115,-0.023823800000000003,-0.625,-0.07554820000000001
222,1.29804,0.12,-0.0247156,0.625,-0.07529340000000001
223,1.303125,0.125,-0.025352600000000003,1.125,-0.0747838
224,1.30815,0.13,-0.025352600000000003,1.125,-0.074529
225,1.313035,0.145,-0.0247156,1.75,-0.0744016
226,1.31804,0.15,-0.023696400000000003,1.75,-0.0744016
